PR,BR,Domain,Type,RTDs,Table/Topic,Autoparsed?,ID,Text
3,30,Physical Health,pending,Done,Anthropometrics,Yes,ID-20,Add sex-specific birth weight to `ph_ch_anthro` (see [Sex-Specific Birthweight for GA](https://docs.hbcdstudy.org/latest/instruments/physhealth/growth/#warning)).
3,30.1,Behavior & Child-Caregiver Interaction,pending,Done,ERICA,Yes,ID-21,"A future release will include reliability codes integrated into the primary coding dataset. Until then, users must perform this integration manually: see the ERICA Data Warning for instructions. Instructions include cleaning the current files to exclude n=44 participants with incorrect code values (data entry/form errors), capping `b_raw` values at 3.0 (n=3 participants), and removing the “Locomotor Ability” field (`mh_cg_erica_3_9m_locomotor_ability`), which has errors, also to be corrected in the next release."
3,30,All Data / General,pending,Done,Blank Fields for Siblings,Yes,ID-22,"Family-level (i.e., non-child-specific) instrument fields are currently populated only for the Main Child, not sibling records (e.g., HBCD Multiple Birth – Sibling). Until resolved, users should obtain family-level values for sibling participants from the corresponding Main Child record. See the participant ID mapping in the [HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download)."
3,30,Behavior & Child-Caregiver Interaction,known_issue,Done,FAD,Yes,ID-24,N=4 V06 participants with <3 item responses are incorrectly scored as `0`; set values to null prior to analysis.
3,30,Behavior & Child-Caregiver Interaction,pending,Done,MAPS-TL (Tod),Yes,ID-26,Pro-rated scoring for `mh_cg_mapdb__tod` not yet implemented; N=16 participants missing scores.
3,30,Behavior & Child-Caregiver Interaction,known_issue,Done,ecPROMIS CC,Yes,ID-27,N=12 V03 participants with <3 item responses are incorrectly scored as `0` in `mh_cg_pms__cc__inf`; set values to null prior to analysis.
3,30,MRI,pending,Done,Cook's Distance,Yes,ID-28,Addition Cook's distance values computed for fMRI.
3,30,Behavior & Child-Caregiver Interaction,known_issue,Done,MAPS-TL (<1yr),Yes,ID-30,N=4 participants with no item responses are incorrectly scored as `0`; set values to null prior to analysis.
3,30.2,All Data / General,known_issue,Done,Implausible GA,Yes,ID-32,"A small subset of participants have implausible `gestational_age` (V01 only) values for one or more instrument. Until corrected, review GA distribution to exclude outliers from analysis (should be positive and generally < 45 weeks)."
3,30.1,Physical Health,known_issue,Done,Anthropometrics,Yes,ID-33,"Adjusted age contains N=303 ""unknown missing"" values that are also missing 'Date of Administration'."
3,30.1,Demographics,known_issue,Done,Basic Demo,Yes,ID-34,N=14 participants in `sed_basic_demographics` have a Maternal Age at V01 of 0; exclude these values from analyses until corrected.
3,30.2,All Data / General,known_issue,Done,Score text,Yes,ID-36,Text inappropriately located in score fields where score is missing to be moved to corresponding 'notes' field (impacts ecPROMIS-PAGS; MAPS-TL; SPM-2).
3,,Demographics,known_issue,Done,TLFB,Yes,ID-37,PNR data were incorrectly reported using TLFB versions 1/2 and will be updated to [version 3 specific to PNR](https://docs.hbcdstudy.org/latest/instruments/pregexp/su/tlfb/#v3)
3,30.1,Social & Environmental Determinants,known_issue,Done,eHITS,Yes,ID-38,Participants missing all item responses are incorrectly scored as `0`; set values to null prior to analysis.
3,30.2,Physical Health,known_issue,Done,Anthropometrics,Yes,ID-40,The data dictionary element `type_data` for `average_bmi` will be corrected to `double` (currently=`character`).
