Name	PR	BR	Final BR	Status	WG	Domain	RTDs	RTDs_Status	Table/Topic	RTDs Text (markdown format)	Autoparsed?
Shorten MRI (specifically XCP-D) variables names				Not started yet	MRI	MRI	pending	Done	Var name length	Variable names for tabulated MRI data (particularly XCP-D outputs) can be upwards of 167 characters, which may exceed variable name limits in some software and lead to truncation or import errors. Shorter variable names will be implemented in a future release.	Yes
LOW PRIORITY: DDs for concatenated data				LORIS reviewing	ALL	GENERAL	on hold/later	TBD			TBD
Clean up crew: Multiple births				Active	DATA STRUCTURE	GENERAL	pending	Done	Multibirth Cohorts	Missing instrument fields for Sibling cohorts will be populated and *FamilyID* will be incorporated to help identify siblings - [see details](https://docs.hbcdstudy.org/latest/instruments/demo/visitinfo/#warning).	Yes
[DATA ERROR]- MAV01 in Release 2.0				LORIS reviewing	DEMOGRAPHICS	DEMOGRAPHICS	known_issue	Done	Basic Demo	N=14 participants in `sed_basic_demographics` have a Maternal Age at V01 of 0; exclude these values from analyses until corrected.	Yes
remove descriptive fields that were accidentally included				New; needs discussion	DEMOGRAPHICS	SOCIAL & ENVIRONMENTAL DETERMINANTS	br_known_issue	Done	Demographics	Remove erroneously included descriptive fields (e.g. `sed_bm_demo_roster_001__00`).	Yes
[DATA REQUEST]-remove a few ERICA fields from data release				New; needs discussion	BEHAVIOR & CAREGIVER-CHILD INTERACTION	BEHAVIOR & CAREGIVER-CHILD INTERACTION	br_known_issue	Done	ERICA	Remove ERICA variables specified by WG (data taken, age fields, and language).	Yes
[REMOVE ERRONEOUS DATA POINTS]- ERICA WG feedback				New; needs discussion	BEHAVIOR & CAREGIVER-CHILD INTERACTION	BEHAVIOR & CAREGIVER-CHILD INTERACTION	br_known_issue	Done	ERICA	Remove 2 data points specified by WG from the ERICA Codes (3-9M) table.	Yes
[REMOVE VARIABLE]- ph_ch_anthro_002				New; needs discussion	PHYSICAL HEALTH	PHYSICAL HEALTH	br_known_issue	Done	Growth	Remove `ph_ch_anthro_002`.	Yes
[DATA ERROR]- negative adjusted age				New; needs discussion	PHYSICAL HEALTH	PHYSICAL HEALTH	br_known_issue	Done	Growth	Confirm that negative `ph_ch_anthro_adjusted_age`  data point is accurate.	Yes
Anthro: LT goal for implementing score calculation in ETL based on EDD	2.1	21.1		Active	PHYSICAL HEALTH	PHYSICAL HEALTH	pending	Done	Growth	Addition of age-based z-scores to `ph_ch_anthro` (see [Z-Scores Excluded](https://docs.hbcdstudy.org/latest/instruments/physhealth/growth/#warning)).	Yes
[DATA REQUEST]- add in LORIS imaging form variables	2.1	21.1		Active	MRI	MRI	pending	Done	Summary Forms	Addition of MRI &apos;Scan Session&apos; and &apos;Data&apos; Summary Forms to release data with information from the MRI technician obtained on day of scan.	Yes
[DATA REQUEST]- language of administration variable	2.1	21.1		Active	ALL	GENERAL	pending	Done	Language	Addition of language of administration across all instruments where applicable.	Yes
[DATA ERROR]- age fields in EEG data	2.1	21.1		Active	EEG	EEG	known_issue	Done	Age fields	For N=74 V03 sessions, chronological and adjusted age fall outside 3–9 months due to site entry errors. Exclude out-of-range values for analysis.	Yes
Genomics - OLINK data proteomics	2.1	21		Dev Done	BIOSPECIMEN & OMICS	BIOSPECIMEN & OMICS	pending	Done	Olink	Addition of Olink Explore 384 Inflammation 1 Panel, proteomics measure of maternal inflammation during pregnancy.	Yes
TLFB PNR; wrong weeks reported comparison	2.1	21.1		Ongoing	PREGNANCY & EXPOSURE	PREGNANCY & EXPOSURE	known_issue	Done	TLFB	Weeks for postnatal recruits were mistakenly reported in the TLFB **versions 1** or **2** instead of [**version 3** adapted for PNR](https://docs.hbcdstudy.org/latest/instruments/pregexp/su/tlfb/#v3). These will be adjusted to **version 3**.	Yes
Bayley item-level scores	2.1			Active	NEUROCOGNITION & LANGUAGE	NEUROCOGNITION & LANGUAGE	pending	Done	Bayley-4	Addition of item-level scores.	Yes
add unit for nails_results_nail_weight variable	2.1			Active	BIOSPECIMEN & OMICS	BIOSPECIMEN & OMICS	known_issue	Done	Nails	Add unit (mg) for `nails_results_nail_weight` variable.	Yes
All decline to answer will still report as zero - eHITS	2.1			Active	SED	SOCIAL & ENVIRONMENTAL DETERMINANTS	known_issue	Done	eHITS	In `sed_bm_ehits`, participants with no responses are assigned a score of 0 instead of missing; convert to null before analysis.	Yes
[SCORING CORRECTION NEEDED]- current PACEs	2.1	21.1		Dev Done	SED	SOCIAL & ENVIRONMENTAL DETERMINANTS	known_issue	Done	C-PACEs	Summary scores for `sed_bm_paces` are currently calculated as the sum of individual item responses rather than the average. Until corrected, users may compute their own average-based summary scores using the item-level data provided in the dataset.	Yes
[DATA ERROR] - 2 corrupt files in MRI raw BIDS (func)	2.1		21	Done	MRI	MRI	known_issue	Archived to BR	Raw BIDS	Raw BIDs include 2 corrupted bold runs in V02; view participant IDs/filepaths in the[HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download).	Yes
[DATA ERROR]- Study Navigator blank checkboxes	2.1	21		Dev Done	Study Navigators	ADMINISTRATIVE	pending	Done	Study Navigators	Populate SUBSTANCE_USE and OTHER checkbox fields.	Yes
[DATA ERROR]- missing participants from tabulated EEG data	2.1	21.1		Active	EEG	EEG	known_issue	Done	HBCD-MADE	N=3 V04 sessions in the HBCD-MADE derivatives for FACE and MMN tasks are missing corresponding tabulated data. File-based data should therefore be used for analyses. Impacted participant IDs are available via the [HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download).	Yes
Followup item: scanner info	2.1			Not started yet	MRI	MRI	pending	Done	Scanner Info	Scanner information (currently available in the scans TSV files within the raw BIDS data as well as all sidecar JSON files) will be provided as tabulated data.	Yes
[MISSING VARIABLE]- sed_bm_demo_income_002	2.1	21.1		Active	DEMOGRAPHICS	SOCIAL & ENVIRONMENTAL DETERMINANTS	known_issue	Done	Demographics	V01 household income (`sed_bm_demo_income_002`) missing from adult demographics.	Yes
